#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         10       100      1000     19.47     21.32     23.63   1632.23
         20       100      1000     25.88     27.89     30.57     36.41
         30       100      1000     31.20     34.73     37.31     70.37
         40       100      1000     33.49     36.42     39.84   1638.89
         50       100      1000     38.74     41.84     44.99     53.05
         60       100      1000     41.25     45.41     48.38   1657.70
         70       100      1000     43.19     47.79     51.97   1644.51
         80       100      1000     45.20     49.48     53.30   1651.92
         90       100      1000     47.68     51.55     54.97   1671.05
        100       100      1000     52.34     56.20     60.48   1668.75
        110       100      1000     55.83     60.95     64.41   1694.38
        120       100      1000     57.14     62.26     65.96   1687.86
        130       100      1000     54.46     59.31     66.70   1719.16
        140       100      1000     58.87     64.84     69.53   2733.17
        150       100      1000     61.02     66.10     70.15   1690.36
        160       100      1000     62.42     67.64     72.15   2339.84
        170       100      1000     66.28     70.50     74.64   2746.88
        180       100      1000     66.61     71.47     75.77   2878.38
        190       100      1000     68.84     73.06     77.44   1712.62
        200       100      1000     71.96     76.92     83.24   2765.60

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         10      1000      1000     28.08     30.48     32.21     36.23
         20      1000      1000     42.36     45.27     47.65     53.02
         30      1000      1000     55.52     59.12     63.23     73.31
         40      1000      1000     63.47     69.01     70.96     78.87
         50      1000      1000     79.65     89.12     93.32    102.38
         60      1000      1000     90.12     95.42     99.12    112.03
         70      1000      1000     91.90     97.70    101.48    138.07
         80      1000      1000    105.37    111.14    117.13    149.80
         90      1000      1000    125.57    132.51    137.96    190.13
        100      1000      1000    144.32    153.91    166.82    224.41
        100      1000      1000    133.10    141.03    148.43   2909.46
        110      1000      1000    145.83    152.86    157.27   2288.71
        120      1000      1000    154.14    162.46    167.81   1718.14
        130      1000      1000    151.40    158.05    163.33   3001.60
        140      1000      1000    165.49    174.00    179.33   2887.87
        150      1000      1000    177.18    189.61    196.96    536.36
        160      1000      1000    189.54    199.51    266.15   3289.08
