# p2p microbenchmark: sweep message size from 0B to 50000B
# ./submit-clusterperf 2 2 clusterperf.py -r 0 --disjunct --transport basic+ofiud point2point --verbose --cpusPerServer 10 --servers 2 --count 100000 --size 50000

#     nodes  size (B)       ops       min       p50       p90       p99
          2         0    100000      2.04      2.68      2.96      3.28
          2       100    100000      2.29      2.69      3.04      3.46
          2       200    100000      2.15      2.65      2.99      3.42
          2       300    100000      2.18      2.85      3.16      3.55
          2       400    100000      2.35      2.82      3.17      3.57
          2       500    100000      2.37      2.85      3.22      3.70
          2       600    100000      2.33      2.93      3.25      3.62
          2       700    100000      0.00      2.96      3.34      3.79
          2       800    100000      2.42      2.95      3.31      3.74
          2       900    100000      2.61      3.05      3.42      3.86
          2      1000    100000      2.56      2.99      3.36      3.82
          2      1100    100000      2.43      3.08      3.41      3.86
          2      1200    100000      2.55      3.07      3.45      3.94
          2      1300    100000      2.54      3.15      3.48      3.91
          2      1400    100000      2.67      3.15      3.54      4.02
          2      1500    100000      2.60      3.20      3.57      4.05
          2      1600    100000      2.71      3.21      3.60      4.10
          2      1700    100000      2.76      3.24      3.61      4.04
          2      1800    100000      2.79      3.24      3.62      4.08
          2      1900    100000      2.77      3.27      3.66      4.14
          2      2000    100000      2.83      3.30      3.67      4.11
          2      2100    100000      2.87      3.34      3.74      4.28
          2      2200    100000      2.84      3.49      3.85      4.31
          2      2300    100000      2.96      3.49      3.84      4.31
          2      2400    100000      3.00      3.53      3.91      4.42
          2      2500    100000      2.91      3.56      3.95      4.46
          2      2600    100000      2.94      3.56      3.95      4.47
          2      2700    100000      3.01      3.59      3.97      4.50
          2      2800    100000      2.94      3.58      3.97      4.48
          2      2900    100000      3.08      3.62      4.00      4.50
          2      3000    100000      3.06      3.71      4.12      4.75
          2      3100    100000      3.09      3.64      4.08      4.69
          2      3200    100000      3.15      3.72      4.13      4.68
          2      3300    100000      3.10      3.73      4.13      4.65
          2      3400    100000      3.27      3.84      4.21      4.70
          2      3500    100000      3.12      3.75      4.16      4.71
          2      3600    100000      3.24      3.87      4.26      4.80
          2      3700    100000      3.26      3.90      4.30      4.84
          2      3800    100000      3.13      3.84      4.23      4.75
          2      3900    100000      3.38      4.01      4.42      4.97
          2      4000    100000      3.64      4.29      4.64      5.10
          2      4100    100000      3.71      4.29      4.66      5.12
          2      4200    100000      3.77      4.35      4.71      5.17
          2      4300    100000      3.76      4.36      4.71      5.15
          2      4400    100000      3.78      4.36      4.74      5.27
          2      4500    100000      3.80      4.50      4.84      5.37
          2      4600    100000      3.77      4.46      4.81      5.30
          2      4700    100000      3.84      4.51      4.86      5.34
          2      4800    100000      3.85      4.42      4.77      5.22
          2      4900    100000      3.80      4.50      4.88      5.43
          2      5000    100000      3.81      4.54      4.94      5.51
          2      5100    100000      3.91      4.48      4.83      5.32
          2      5200    100000      3.92      4.47      4.86      5.44
          2      5300    100000      3.95      4.47      4.84      5.40
          2      5400    100000      3.95      4.49      4.87      5.43
          2      5500    100000      4.02      4.54      4.93      5.51
          2      5600    100000      3.82      4.63      5.00      5.55
          2      5700    100000      4.03      4.63      5.03      5.58
          2      5800    100000      4.07      4.67      5.06      5.67
          2      5900    100000      4.07      4.65      5.05      5.64
          2      6000    100000      4.12      4.68      5.08      5.64
          2      6100    100000      4.26      4.89      5.28      5.90
          2      6200    100000      4.18      4.84      5.24      5.85
          2      6300    100000      4.23      4.91      5.29      5.92
          2      6400    100000      4.24      4.86      5.21      5.76
          2      6500    100000      4.33      4.92      5.32      5.91
          2      6600    100000      4.16      4.90      5.29      5.87
          2      6700    100000      4.30      4.99      5.41      6.05
          2      6800    100000      4.31      5.03      5.43      6.07
          2      6900    100000      4.37      5.01      5.43      6.08
          2      7000    100000      4.35      4.97      5.41      6.08
          2      7100    100000      4.35      5.02      5.46      6.14
          2      7200    100000      4.44      5.09      5.57      6.29
          2      7300    100000      4.45      5.18      5.69      6.43
          2      7400    100000      4.42      5.16      5.67      6.35
          2      7500    100000      4.46      5.28      5.79      6.53
          2      7600    100000      4.56      5.23      5.71      6.40
          2      7700    100000      4.55      5.22      5.71      6.43
          2      7800    100000      4.58      5.27      5.79      6.54
          2      7900    100000      4.65      5.37      5.86      6.56
          2      8000    100000      4.58      5.24      5.69      6.42
          2      8100    100000      4.62      5.28      5.70      6.35
          2      8200    100000      5.18      6.23      6.95      7.91
          2      8300    100000      5.17      6.24      6.96      7.95
          2      8400    100000      4.93      6.19      6.93      7.95
          2      8500    100000      5.16      6.26      6.98      8.09
          2      8600    100000      5.15      6.29      7.01      8.02
          2      8700    100000      5.11      6.25      6.99      8.05
          2      8800    100000      5.21      6.39      7.14      8.19
          2      8900    100000      5.27      6.37      7.11      8.15
