#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
           20        1000     200       66.85      224.15       70.84       82.16     1754.39                2.26
           40        1000     200      130.59      242.37      136.63      148.25     1804.32                2.34
           60        1000     200      198.75      402.32      204.31     1752.50     3587.72                2.35
           80        1000     200      266.95      451.80      273.14     1787.44     3234.41                2.34
          100        1000     200      332.81      510.37      340.94      946.53     3063.63                2.35
          120        1000     200      402.34      609.63      409.75      466.50     3819.20                2.34
          140        1000     200      468.55      648.60      478.81      515.68     3961.22                2.34
          160        1000     200      544.26      903.40      553.14      611.53     3547.32                2.31
          180        1000     200      615.68      891.15      624.33     2083.09     4711.55                2.31
           20        4000     200       67.27       98.35       70.36       73.95     2800.43                9.10
           40        4000     200      129.77      134.11      133.40      137.80      148.14                9.60
           60        4000     200      191.55      212.30      196.98      202.07      246.77                9.75
           80        4000     200      255.33      275.30      260.95      265.17      300.66                9.81
          100        4000     200      317.10      365.82      323.72      328.56     3080.17                9.89
          120        4000     200      382.67      493.57      389.38      408.78     3447.85                9.86
          140        4000     200      447.28      526.68      455.55      483.89     3355.95                9.83
          160        4000     200      510.46      584.29      521.08      546.94     3369.20                9.83
          180        4000     200      577.78      739.52      585.31      624.07     4906.81                9.84
           20        8000     200       88.03      125.23       95.81      103.31     2938.39               13.36
           40        8000     200      171.74      183.08      181.64      193.31      207.66               14.09
           60        8000     200      255.62      284.92      269.55      279.08      308.36               14.25
           80        8000     200      339.63      371.17      355.75      366.94      405.84               14.39
          100        8000     200      425.83      484.98      441.68      455.31     3236.05               14.49
          120        8000     200      643.30      762.50      662.10      678.67     3652.36               11.60
          140        8000     200      688.73      761.16      693.43      706.91     3630.39               12.92
          160        8000     200      759.07      915.54      787.88      812.23     3712.49               13.00
          180        8000     200      933.95     1205.93      980.07     1021.21     4142.73               11.75
           20       16000     200      118.97      127.16      125.41      135.35      153.27               20.41
           40       16000     200      237.86      250.15      247.82      263.07      278.77               20.66
           60       16000     200      349.78      369.62      368.24      383.70      403.39               20.86
           80       16000     200      466.90      518.10      488.40      502.20     3332.84               20.97
          100       16000     200      725.58      809.70      747.10      771.23     3718.89               17.13
          120       16000     200     1275.72     1400.43     1338.10     1380.51     3830.01               11.48
          140       16000     200     1340.00     1595.08     1386.67     1463.33     4346.46               12.92
          160       16000     200     1533.32     1729.30     1599.64     1659.38     4804.63               12.80
          180       16000     200     1894.48     2236.36     2001.62     3829.53     4786.10               11.51
           20       32000     200      138.34      160.20      155.68      177.26      221.68               32.89
           40       32000     200      456.35      477.50      461.50      473.93      518.33               22.19
           60       32000     200      605.42      638.64      617.26      651.88      676.22               24.88
           80       32000     200      951.12     1078.95     1013.02     1058.72     3770.52               20.22
          100       32000     200     1436.72     1604.21     1511.54     1559.29     4418.97               16.94
          120       32000     200     2619.27     2900.07     2722.17     2825.14     6166.58               11.29
          140       32000     200     2718.92     3118.60     2841.62     4351.63     6072.38               12.61
          160       32000     200     3103.69     3564.46     3248.02     4914.16     6419.45               12.61
          180       32000     200     3788.88     4276.72     3975.40     5417.56     7055.56               11.59
           20       40000     200      163.48      182.14      179.23      198.85      239.87               35.71
           40       40000     200      564.62      578.25      571.53      599.11      639.71               22.40
           60       40000     200      747.78      839.24      777.19      842.15     3666.19               24.70
           80       40000     200     1199.48     1329.26     1280.02     1350.89     3914.42               20.00
          100       40000     200     1810.28     2031.81     1894.42     1982.80     4479.82               16.89
          120       40000     200     3273.03     3563.59     3405.88     3575.66     6357.56               11.27
          140       40000     200     3417.31     3747.09     3567.73     4199.20     6334.09               12.56
          160       40000     200     3927.90     4358.34     4123.53     5299.72     7179.30               12.42
          180       40000     200     4745.92     5251.62     5026.87     5816.03     8391.26               11.46
