============================
Servers/machine = 1
Gather Tree		= Flat
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2       100      1000      4.01      4.51      4.90      5.49
          3       100      1000      5.04      5.64      6.09      6.63
          4       100      1000      6.04      6.72      7.25      7.75
          5       100      1000      7.03      7.94      8.46      9.36
          6       100      1000      7.92      9.05      9.65     10.37
          7       100      1000      9.08     10.19     10.76     11.43
          8       100      1000     10.10     11.35     12.05     13.19
          9       100      1000     11.35     12.39     13.02     13.94
         10       100      1000     12.30     13.41     14.12     15.21
         11       100      1000     13.13     14.39     15.30     16.79
         12       100      1000     14.11     15.74     16.57     17.76
         13       100      1000     15.24     16.82     17.75     19.28
         14       100      1000     16.11     18.10     19.13     20.55
         15       100      1000     17.29     18.98     20.18     21.62
         16       100      1000     18.12     20.19     21.26     23.28
         17       100      1000     19.36     21.15     22.22     23.63
         18       100      1000     20.36     22.38     23.69     25.53
         19       100      1000     21.57     23.47     24.72     26.25
         20       100      1000     22.52     24.85     26.12     27.54
         21       100      1000     23.97     26.29     27.57     29.72
         22       100      1000     24.43     27.43     28.83     30.41
         23       100      1000     26.22     28.52     29.79     31.27
         24       100      1000     27.05     29.55     31.01     32.50
         25       100      1000     28.54     30.82     32.05     33.36
         26       100      1000     29.33     31.94     33.45     35.21
         27       100      1000     30.25     33.03     34.60     35.94
         28       100      1000     31.52     34.39     35.98     37.84
         29       100      1000     32.29     35.08     36.73     38.05
         30       100      1000     33.39     36.80     38.52     40.38
         31       100      1000     35.12     37.96     39.49     41.98
         32       100      1000     35.76     38.83     40.55     42.78
         33       100      1000     34.07     39.90     41.61     44.13
         34       100      1000     38.64     41.15     42.98     45.08
         35       100      1000     39.87     42.59     44.31     46.20
         36       100      1000     40.34     43.83     45.52     46.94
         37       100      1000     41.75     45.07     46.89     48.93
         38       100      1000     43.23     46.33     48.36     50.06
         39       100      1000     44.35     47.70     49.57     52.17
         40       100      1000     46.08     49.28     51.10     53.59
         41       100      1000     43.72     50.31     52.17     55.68
         42       100      1000     48.33     51.74     53.49     55.23
         43       100      1000     48.73     52.93     55.07     58.88
         44       100      1000     49.70     53.77     55.81     57.93
         45       100      1000     50.73     54.73     56.96     59.61
         46       100      1000     52.30     56.15     58.07     60.37
         47       100      1000     53.74     57.05     58.85     61.11
         48       100      1000     50.32     58.03     60.11     62.34
         49       100      1000     48.93     58.52     60.57     62.75
         50       100      1000     55.80     60.26     62.50     65.27
         51       100      1000     56.83     61.10     63.48     66.02
         52       100      1000     58.02     62.43     64.56     67.10
         53       100      1000     59.22     63.26     65.76     68.35
         54       100      1000     59.64     64.17     66.38     68.51
         55       100      1000     60.03     65.21     67.72     70.07
         56       100      1000     60.01     66.04     68.49     70.93
         57       100      1000     59.08     66.53     68.71     71.25
         58       100      1000     64.47     68.59     70.61     72.95

============================
Servers/machine = 1
Gather Tree		= Flat
Message Size	= 8KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2      8000      1000      6.32      7.01      7.65      8.58
          3      8000      1000      8.05      8.78      9.39     10.36
          4      8000      1000      9.48     10.54     11.14     12.99
          5      8000      1000     11.10     12.35     13.18     14.26
          6      8000      1000     13.30     14.29     15.04     16.79
          7      8000      1000     14.97     16.12     16.87     17.98
          8      8000      1000     16.48     17.90     18.86     20.29
          9      8000      1000     18.11     19.71     20.63     22.23
         10      8000      1000     20.14     21.63     22.72     24.46
         11      8000      1000     21.45     23.33     25.46     28.03
         12      8000      1000     22.85     25.57     29.17     30.91
         13      8000      1000     25.14     28.21     32.72     34.66
         14      8000      1000     26.50     32.06     36.32     38.79
         15      8000      1000     28.76     35.91     40.08     42.71
         16      8000      1000     31.06     39.70     43.49     46.45
         17      8000      1000     33.37     43.31     46.97     48.80
         18      8000      1000     36.88     46.77     51.18     53.77
         19      8000      1000     42.42     50.15     55.13     58.39
         20      8000      1000     45.26     53.49     58.46     62.20
         21      8000      1000     48.83     57.14     62.69     67.36
         22      8000      1000     52.26     61.11     66.80     71.47
         23      8000      1000     56.13     64.49     70.38     75.60
         24      8000      1000     59.93     68.89     73.75     77.04
         25      8000      1000     61.80     71.86     78.19     82.84
         26      8000      1000     67.31     75.09     80.17     85.64
         27      8000      1000     70.05     79.08     85.56     90.46
         28      8000      1000     74.36     82.26     87.92     93.52
         29      8000      1000     76.13     85.93     91.37     96.93
         30      8000      1000     79.15     90.39     96.66    100.83
         31      8000      1000     83.86     93.71     99.42    104.34
         32      8000      1000     87.16     98.44    105.35    111.75
         33      8000      1000     88.90    102.05    107.81    113.49
