# Command to run on POD:
#     ./submit-clusterperf <#machines> <#servers-per-machine> clusterperf.py -r 0 --disjunct --transport basic+ofiud treeBcast --verbose --cpusPerServer 10 --servers <#servers> --count 10000 --size 100

# Configuration:
# #servers-per-machine = 2
# BCAST_TREE = k-nomial
# BRANCH_FACTOR = 10

# Note: Latency numbers are displayed in microseconds.
#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2       100     10000      2.60      3.08      3.42      3.85
          3       100     10000      3.28      3.86      4.20      5.12
          4       100     10000      4.10      4.71      5.16      6.89
          5       100     10000      4.28      5.09      5.59      7.29
          6       100     10000      4.84      5.74      6.17      8.68
          7       100     10000      5.39      6.34      6.99      9.20
          8       100     10000      5.67      6.92      8.14     10.82
          9       100     10000      6.37      7.46      9.48     12.38
         10       100     10000      7.12      8.60     12.14     14.19
         11       100     10000      7.73      9.14     13.83     15.16
         12       100     10000      7.33      8.73     12.72     14.41
         13       100     10000      7.56      8.80     11.51     13.87
         14       100     10000      7.52      8.91     10.19     13.83
         15       100     10000      7.58      8.92      9.74     13.03
         16       100     10000      7.85      9.05      9.83     13.56
         17       100     10000      8.35      9.61     10.36     13.97
         18       100     10000      8.91     10.16     10.91     14.23
# --------------------------------------------------------------------------
         18       100     10000     10.01     11.42     12.33     15.64
         19       100     10000     10.55     11.96     12.78     16.01
         20       100     10000     11.18     12.58     13.43     16.55
         21       100     10000     11.09     12.50     13.43     16.33
         22       100     10000     11.33     12.82     13.80     16.96
         23       100     10000     11.20     12.82     13.79     16.99
         24       100     10000     11.12     12.73     13.70     17.63
         25       100     10000     11.32     12.77     13.81     18.37
         26       100     10000     11.06     12.60     13.62     17.12
         27       100     10000     11.10     12.59     13.64     16.79
         28       100     10000     11.32     12.73     13.66     16.77
         29       100     10000     11.12     12.64     13.59     17.53
         30       100     10000     11.51     12.98     13.88     17.33
         31       100     10000     11.48     13.17     14.33     17.35
         32       100     10000     11.51     13.02     14.10     17.41
         33       100     10000     11.55     13.21     14.45     17.57
         34       100     10000     11.62     13.18     14.26     17.38
         35       100     10000     11.55     13.11     14.31     17.41
         36       100     10000     11.50     13.09     14.34     17.54
         37       100     10000     11.88     13.39     14.58     17.75
         38       100     10000     12.08     13.74     14.83     18.03
# --------------------------------------------------------------------------
         38       100     10000     12.28     13.74     14.80     18.11
         39       100     10000     12.11     13.54     14.57     17.96
         40       100     10000     12.25     13.86     14.87     18.29
         41       100     10000     12.52     13.90     14.93     18.25
         42       100     10000     12.33     14.08     15.21     20.41
         43       100     10000     12.43     13.95     15.07     18.91
         44       100     10000     12.15     13.92     15.02     18.22
         45       100     10000     12.32     13.84     15.20     18.36
         46       100     10000     12.30     13.82     15.21     18.48
         47       100     10000     12.46     13.78     15.31     18.59
         48       100     10000     12.78     14.11     15.38     18.83
         49       100     10000     13.58     15.10     16.26     20.15
         50       100     10000     14.03     15.56     16.58     19.98
         51       100     10000     13.84     15.34     16.39     20.30
         52       100     10000     13.83     15.50     16.48     20.34
         53       100     10000     13.73     15.19     16.24     19.69
         54       100     10000     13.64     15.29     16.38     19.89
         55       100     10000     13.81     15.36     16.46     20.22
         56       100     10000     13.93     15.54     16.68     20.43
         57       100     10000     13.85     15.37     16.64     20.85
         58       100     10000     14.00     15.54     16.80     20.30

