============================
Servers/machine = 1
Broadcast Tree	= Flat
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2       100      1000      2.69      3.15      3.51      4.45
          3       100      1000      3.61      4.09      4.44      5.08
          4       100      1000      4.14      4.66      5.12      5.75
          5       100      1000      4.60      5.25      5.73      6.66
          6       100      1000      5.07      6.03      6.42      7.73
          7       100      1000      5.85      6.71      7.22      8.25
          8       100      1000      6.44      7.24      7.75      9.49
          9       100      1000      6.95      7.95      9.69     11.83
         10       100      1000      7.33      8.43     10.27     13.41
         11       100      1000      8.04      8.84     11.20     14.00
         12       100      1000      8.11      9.34     13.59     16.29
         13       100      1000      8.60      9.93     16.00     16.98
         14       100      1000      9.22     12.22     16.87     17.78
         15       100      1000      9.51     16.38     17.43     18.16
         16       100      1000      9.96     17.04     17.98     19.13
         17       100      1000     10.48     13.31     18.61     19.81
         18       100      1000     10.99     17.73     19.08     20.43
         19       100      1000     11.79     18.59     19.70     20.80
         20       100      1000     12.14     18.89     20.01     21.21
         21       100      1000     12.79     19.22     20.10     22.75
         22       100      1000     13.89     19.87     20.98     22.77
         23       100      1000     15.84     20.45     21.52     22.78
         24       100      1000     16.37     20.77     21.99     23.38
         25       100      1000     16.80     20.88     22.07     23.17
         26       100      1000     16.98     21.27     22.28     24.12
         27       100      1000     17.73     21.95     23.28     24.86
         28       100      1000     18.08     22.58     24.51     26.75
         29       100      1000     17.57     23.72     26.32     27.79
         30       100      1000     19.09     25.14     27.24     28.41
         31       100      1000     20.24     25.73     27.71     28.94
         32       100      1000     21.77     26.54     28.61     32.73
         33       100      1000     22.57     26.39     28.35     29.57
         34       100      1000     23.54     27.40     29.03     30.49
         35       100      1000     23.60     27.58     29.40     31.75
         36       100      1000     24.64     28.30     29.96     31.66
         37       100      1000     25.78     29.28     30.68     33.31
         38       100      1000     26.49     30.15     31.39     33.27
         39       100      1000     27.05     30.55     32.44     34.73
         40       100      1000     27.64     31.18     32.70     34.40
         41       100      1000     28.64     32.29     33.71     36.23
         42       100      1000     28.17     32.08     34.01     37.21
         43       100      1000     30.21     32.88     34.93     37.93
         44       100      1000     31.32     33.84     35.47     38.71
         45       100      1000     31.75     35.09     36.24     39.76
         46       100      1000     33.12     35.93     37.00     40.16
         47       100      1000     33.75     36.48     38.22     41.28
         48       100      1000     34.53     36.73     38.77     42.05


============================
Servers/machine = 1
Broadcast Tree	= Flat
Message Size	= 8KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2      8000      1000      5.45      5.90      6.35      7.38
          3      8000      1000      7.27      7.93      8.57      9.96
          4      8000      1000      8.84      9.48     10.04     11.79
          5      8000      1000     10.33     11.07     11.70     13.00
          6      8000      1000     11.54     12.31     13.13     14.35
          7      8000      1000     13.09     13.79     14.42     16.29
          8      8000      1000     14.38     15.23     16.17     19.64
          9      8000      1000     15.76     16.35     17.09     20.32
         10      8000      1000     17.15     17.76     18.65     23.17
         11      8000      1000     18.04     18.89     20.25     26.84
         12      8000      1000     19.73     27.77     28.57     30.02
         13      8000      1000     21.01     28.75     30.07     31.47
         14      8000      1000     22.21     30.45     31.20     32.52
         15      8000      1000     23.47     31.78     32.73     34.07
         16      8000      1000     24.87     33.27     34.28     36.07
         17      8000      1000     26.58     34.74     35.79     37.11
         18      8000      1000     28.46     35.83     36.83     38.37
         19      8000      1000     30.95     36.96     38.19     39.40
         20      8000      1000     33.12     38.87     40.06     41.87
         21      8000      1000     34.88     40.28     41.33     45.15
         22      8000      1000     36.36     41.61     42.76     44.48
         23      8000      1000     37.82     42.84     43.88     46.24
         24      8000      1000     39.05     44.09     45.18     46.93
         25      8000      1000     41.06     46.01     47.11     49.45
         26      8000      1000     42.44     47.41     50.26     52.42
         27      8000      1000     44.82     51.61     53.84     55.39
         28      8000      1000     46.05     52.56     54.76     56.59
         29      8000      1000     48.06     54.02     56.36     57.98
         30      8000      1000     49.70     55.20     57.43     58.57
         31      8000      1000     51.80     56.66     58.91     60.95
         32      8000      1000     53.84     58.40     60.70     62.70
         33      8000      1000     55.70     59.54     61.93     63.65
         34      8000      1000     57.16     61.41     63.68     66.01
         35      8000      1000     58.79     64.36     66.02     67.86
         36      8000      1000     61.09     65.97     67.55     69.60
         37      8000      1000     63.64     67.39     68.79     70.42
         38      8000      1000     65.19     69.09     70.64     72.31
         39      8000      1000     67.36     70.50     71.88     73.71
         40      8000      1000     69.48     71.92     73.24     76.35
         41      8000      1000     71.25     74.04     75.44     77.24
         42      8000      1000     72.43     76.08     77.65     79.65
         43      8000      1000     75.57     78.01     79.46     80.88
         44      8000      1000     77.03     79.17     80.63     82.66
         45      8000      1000     78.80     81.06     82.63     84.72
         46      8000      1000     80.17     82.81     84.25     86.36
         47      8000      1000     83.19     84.70     86.30     88.21
         48      8000      1000     83.87     86.56     88.17     91.08

============================
Servers/machine = 1
Broadcast Tree	= Flat
Message Size	= 32KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2     32000      1000     10.33     11.28     12.44     13.68
          3     32000      1000     13.60     14.86     15.96     17.27
          4     32000      1000     16.53     17.74     18.49     19.57
          5     32000      1000     19.75     21.05     22.16     23.33
          6     32000      1000     24.00     25.23     26.80     28.24
          7     32000      1000     28.87     30.19     31.38     33.29
          8     32000      1000     33.85     35.82     37.31     39.15
          9     32000      1000     38.97     40.55     42.03     43.90
         10     32000      1000     44.25     45.16     46.17     47.95
         11     32000      1000     49.28     50.66     51.94     53.23
         12     32000      1000     54.46     56.12     57.55     59.00
         13     32000      1000     59.46     60.77     61.79     62.95
         14     32000      1000     64.76     66.09     67.31     68.84
         15     32000      1000     69.87     71.38     72.77     74.37
         16     32000      1000     75.04     76.20     77.19     78.93
         17     32000      1000     80.45     81.73     83.08     84.50
         18     32000      1000     85.56     86.98     88.34     90.08
         19     32000      1000     90.22     91.78     92.65     93.89
         20     32000      1000     95.53     97.14     98.49    100.22
         21     32000      1000    100.96    102.26    103.57    106.44
         22     32000      1000    105.71    107.14    107.99    109.60
         23     32000      1000    110.91    112.45    113.81    115.35
         24     32000      1000    116.20    117.79    119.15    121.58
         25     32000      1000    121.19    122.55    123.61    124.76
