fixed message size = 1KB
#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2        1000   10000        7.05        7.72        7.51        8.20       11.13                0.96
            3        1000   10000        8.79        9.69        9.57       10.19       15.16                1.54
            4        1000   10000       10.83       12.04       11.75       12.81       18.86                1.86
            5        1000   10000       13.21       14.77       14.52       15.62       22.11                2.02
            6        1000   10000       15.51       17.29       17.06       18.26       23.63                2.15
            7        1000   10000       18.14       20.21       19.87       21.10       27.75                2.21
            8        1000   10000       20.35       22.73       22.09       23.63       36.88                2.29
            9        1000   10000       22.65       25.14       24.45       26.31       38.48                2.37
           10        1000   10000       24.84       27.47       26.75       28.84       40.32                2.44
           11        1000   10000       26.86       29.52       28.62       31.20       42.32                2.52
           12        1000   10000       31.45       34.19       33.22       37.52       46.73                2.40
           13        1000   10000       33.52       36.41       35.32       39.88       48.95                2.46
           14        1000   10000       35.98       39.10       37.95       42.68       51.26                2.48
           15        1000   10000       38.55       41.83       40.80       44.90       53.79                2.49
           16        1000   10000       40.94       44.47       43.40       48.34       56.32                2.51
           17        1000   10000       43.53       46.95       45.85       50.75       58.31                2.54
           18        1000   10000       45.70       49.39       48.18       53.49       60.60                2.56
           19        1000   10000       47.97       52.05       50.75       56.33       62.87                2.58
           20        1000   10000       50.27       54.20       52.96       58.09       65.10                2.61
           21        1000   10000       52.69       56.89       55.75       61.13       67.40                2.62
           22        1000   10000       56.13       60.97       59.93       64.96       71.25                2.57
           23        1000   10000       59.13       63.85       62.69       68.23       74.13                2.57
           24        1000   10000       61.56       66.57       65.01       72.14       77.94                2.57
           25        1000   10000       64.10       68.89       67.32       74.37       79.77                2.60
           26        1000   10000       66.76       71.51       69.86       77.24       82.94                2.60
           27        1000   10000       68.94       74.25       72.71       80.13       85.45                2.61
           28        1000   10000       71.63       77.08       75.59       82.95       87.67                2.61
           29        1000   10000       73.94       79.62       78.10       85.08       89.52                2.62
           30        1000   10000       76.62       81.92       80.47       87.28       92.43                2.64
           31        1000   10000       79.25       84.86       83.35       90.95       95.75                2.63
           32        1000   10000       82.58       88.60       87.50       93.53       98.95                2.61
           33        1000   10000       84.81       91.26       90.14       96.08      101.75                2.61
           34        1000   10000       87.78       94.41       93.24       99.42      105.70                2.60
           35        1000   10000       90.13       97.53       96.73      102.20      108.74                2.60
           36        1000   10000       92.85       99.80       99.01      104.42      110.06                2.61
           37        1000   10000       95.10      102.16      101.30      106.77      113.47                2.63
           38        1000   10000       97.41      104.84      104.05      109.35      116.52                2.63
           39        1000   10000      100.48      108.14      107.53      112.15      120.01                2.62
           40        1000   10000      102.72      110.90      110.40      114.62      121.89                2.62
           41        1000   10000      105.74      113.58      112.98      117.51      124.96                2.62
           42        1000   10000      108.67      116.57      115.95      120.52      128.44                2.62
           43        1000   10000      111.52      119.68      119.19      123.39      131.59                2.61
           44        1000   10000      113.43      121.41      120.86      125.43      132.70                2.64
           45        1000   10000      116.19      124.35      123.85      128.22      136.55                2.64
           46        1000   10000      118.95      127.12      126.53      131.01      139.14                2.64
           47        1000   10000      120.74      130.53      129.40      133.92      142.92                2.63
           48        1000   10000      124.07      132.80      132.28      136.61      144.73                2.64
           49        1000   10000      127.47      135.58      134.90      139.44      148.04                2.64
           50        1000   10000      130.21      138.56      137.85      142.46      151.18                2.63
           51        1000   10000      132.65      141.44      140.71      145.33      153.87                2.63
           52        1000   10000      136.27      143.96      143.31      147.73      156.57                2.64
           53        1000   10000      138.66      147.03      146.31      150.99      160.25                2.64
           54        1000   10000      141.04      149.89      149.05      153.94      163.25                2.63
           55        1000   10000      143.76      152.62      151.85      156.73      164.58                2.64

fixed message size = 100KB
#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2      100000    1000       42.86       44.95       44.72       46.07       50.58               16.58
            3      100000    1000       78.64       83.59       82.10       86.31      105.94               17.83
            4      100000    1000      115.20      133.31      132.45      141.29      155.59               16.77
            5      100000    1000      160.59      186.51      185.95      200.45      215.17               15.98
            6      100000    1000      201.69      235.40      235.16      255.16      277.16               15.83
            7      100000    1000      244.88      285.69      283.83      311.50      339.54               15.65
            8      100000    1000      288.06      344.69      342.69      374.25      406.02               15.13
            9      100000    1000      327.32      390.67      389.09      422.89      454.97               15.26
           10      100000    1000      347.80      423.05      418.90      464.05      512.06               15.85
           11      100000    1000      394.46      471.30      471.22      516.52      560.55               15.81
           12      100000    1000      440.68      522.75      524.90      563.20      599.98               15.68
           13      100000    1000      461.74      564.83      565.50      606.80      648.68               15.83
           14      100000    1000      510.69      607.15      608.92      648.48      691.33               15.95
           15      100000    1000      541.45      643.98      643.30      695.98      745.53               16.20
           16      100000    1000      584.74      703.35      705.01      753.94      792.95               15.89
           17      100000    1000      624.34      746.65      747.42      797.99      841.86               15.97
           18      100000    1000      687.72      796.54      799.03      846.31      877.17               15.90
           19      100000    1000      731.21      846.10      847.87      894.86      925.19               15.85
           20      100000    1000      759.73      891.92      894.68      940.06      984.76               15.87
           21      100000    1000      794.21      938.11      943.18      988.54     1035.75               15.88
           22      100000    1000      839.98      968.09      970.37     1023.51     1071.41               16.16
           23      100000    1000      880.53     1025.48     1024.68     1084.01     1136.49               15.98
           24      100000    1000      951.05     1086.13     1083.24     1143.46     1198.53               15.78
           25      100000    1000     1040.56     1145.60     1143.68     1203.07     1271.80               15.61
           26      100000    1000     1093.11     1206.73     1203.20     1266.62     1321.48               15.44
           27      100000    1000     1147.73     1256.06     1253.11     1324.07     1411.08               15.42
           28      100000    1000     1268.28     1441.67     1438.19     1521.23     1607.64               13.95
           29      100000    1000     1291.21     1455.29     1452.66     1538.67     1610.50               14.34
           30      100000    1000     1375.88     1538.55     1533.15     1633.40     1721.83               14.04
           31      100000    1000     1447.45     1612.05     1605.28     1710.30     1809.31               13.87
           32      100000    1000     1508.25     1674.79     1669.68     1762.20     1859.77               13.79
           33      100000    1000     1583.77     1748.85     1742.30     1843.27     1954.67               13.63
