 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]
 10      10000          1.63           9.81         1.70     	       1.71        	0.10   		2.13    		2.99
 20      10000          1.72           4.51         1.80     	       1.81        	0.09   		2.24    		2.92   
 30      10000          1.73           10.04        1.80     	       1.82        	0.09   		2.25    		2.59   
 40      10000          1.75           12.14        1.83     	       1.84        	0.09   		2.25    		2.69   
 50      10000          1.79           44.38        1.87     	       1.88        	0.09   		2.31    		2.75   
 60      10000          1.82           12.11        1.89     	       1.90        	0.09   		2.31    		2.62   
 70      10000          1.86           24.04        1.93     	       1.94        	0.09   		2.37    		2.52   
 80      10000          1.87           85.92        1.94     	       1.96        	0.13   		2.38    		3.19   
 90      10000          1.89           86.63        1.96     	       1.98        	0.65   		2.38    		3.04   
 100     10000          1.89           10.72        1.97     	       1.98        	0.09   		2.38    		3.09   
 110     10000          1.96           17.38        2.03     	       2.04        	0.09   		2.44    		2.99   
 120     10000          1.99           9.86         2.05     	       2.06        	0.09   		2.47    		2.56   
 130     10000          2.00           10.16        2.06     	       2.08        	0.09   		2.50    		2.82   
 140     10000          2.03           4.49         2.10     	       2.11        	0.08   		2.52    		2.73   
 150     10000          2.06           4.95         2.13     	       2.14        	0.09   		2.57    		3.08   
 160     10000          2.05           4.40         2.13     	       2.14        	0.09   		2.56    		3.11   
 170     10000          2.12           4.20         2.19     	       2.21        	0.09   		2.63    		2.99   
 180     10000          2.15           4.88         2.23     	       2.24        	0.08   		2.65    		2.81   
 190     10000          2.16           69.24        2.23     	       2.24        	0.09   		2.65    		2.91   
 200     10000          2.20           10.14        2.28     	       2.29        	0.09   		2.70    		3.17   
 210     10000          2.24           87.16        2.30     	       2.32        	0.45   		2.73    		2.96   
 220     10000          2.24           11.05        2.32     	       2.33        	0.08   		2.74    		3.08   
 230     10000          2.48           11.50        2.55     	       2.56        	0.10   		2.99    		3.58   
 240     10000          2.37           5.22         2.43     	       2.45        	0.08   		2.85    		3.06   
 250     10000          2.41           5.58         2.47     	       2.49        	0.08   		2.89    		3.11   
 260     10000          2.42           3.90         2.49     	       2.50        	0.08   		2.90    		3.08   
 270     10000          2.45           10.16        2.51     	       2.52        	0.09   		2.95    		3.30   
 280     10000          2.46           84.74        2.53     	       2.55        	0.13   		2.96    		3.51   
 290     10000          2.49           12.44        2.57     	       2.60        	0.09   		2.99    		3.19   
 300     10000          2.50           86.99        2.56     	       2.57        	0.11   		2.97    		3.38   
 310     10000          2.52           4.20         2.59     	       2.60        	0.08   		3.02    		3.57   
 320     10000          2.53           4.14         2.59     	       2.61        	0.08   		3.02    		3.17   
 330     10000          2.55           11.19        2.62     	       2.64        	0.09   		3.04    		3.46   
 340     10000          2.59           13.37        2.66     	       2.68        	0.09   		3.08    		3.49   
 350     10000          2.66           85.49        2.72     	       2.74        	0.13   		3.14    		3.65   
 360     10000          2.64           13.88        2.71     	       2.73        	0.09   		3.12    		3.53   
 370     10000          2.62           5.64         2.69     	       2.70        	0.08   		3.10    		3.21   
