 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec]
 1       10000          1.69           48.25        1.73     	       1.75        	0.09   		2.14    		2.63   
 2       10000          1.69           5.81         1.73     	       1.75        	0.09   		2.14    		2.64   
 3       10000          1.69           57.63        1.73     	       1.75        	0.08   		2.13    		2.30   
 4       10000          1.69           5.84         1.74     	       1.75        	0.09   		2.15    		2.75   
 5       10000          1.69           6.04         1.74     	       1.75        	0.08   		2.14    		2.19   
 6       10000          1.69           62.95        1.74     	       1.75        	0.09   		2.20    		2.41   
 7       10000          1.69           6.31         1.74     	       1.75        	0.09   		2.14    		2.61   
 8       10000          1.69           5.80         1.74     	       1.75        	0.09   		2.14    		2.54   
 9       10000          1.70           58.89        1.76     	       1.77        	0.08   		2.16    		2.62   
 10      10000          1.69           5.80         1.76     	       1.77        	0.08   		2.16    		2.67   
 11      10000          1.70           48.24        1.75     	       1.77        	0.10   		2.17    		2.58   
 12      10000          1.70           19.62        1.76     	       1.77        	0.08   		2.16    		2.49   
 13      10000          1.72           6.10         1.77     	       1.78        	0.09   		2.17    		2.42   
 14      10000          1.72           3.98         1.77     	       1.78        	0.07   		2.17    		2.23   
 15      10000          1.71           8.29         1.77     	       1.78        	0.09   		2.17    		2.67   
 16      10000          1.79           3.98         1.84     	       1.85        	0.08   		2.24    		2.86   
 17      10000          1.78           6.04         1.84     	       1.85        	0.08   		2.24    		2.27   
 18      10000          1.78           5.97         1.84     	       1.85        	0.09   		2.24    		2.81   
 19      10000          1.79           6.18         1.84     	       1.85        	0.08   		2.26    		2.43   
 20      10000          1.78           5.95         1.84     	       1.85        	0.09   		2.25    		2.94   
 21      10000          1.78           6.13         1.84     	       1.85        	0.09   		2.24    		2.87   
 22      10000          1.78           67.73        1.84     	       1.85        	0.09   		2.24    		2.77   
 23      10000          1.79           7.28         1.84     	       1.85        	0.09   		2.24    		2.94   
 24      10000          1.79           5.91         1.84     	       1.85        	0.09   		2.24    		2.61   
 25      10000          1.79           5.91         1.84     	       1.86        	0.09   		2.25    		3.05   
 26      10000          1.81           4.66         1.84     	       1.86        	0.07   		2.24    		2.30   
 27      10000          1.80           3.28         1.84     	       1.86        	0.08   		2.25    		2.87   
 28      10000          1.80           4.26         1.84     	       1.86        	0.08   		2.26    		2.31   
 29      10000          1.82           4.53         1.87     	       1.89        	0.08   		2.27    		2.31   
 30      10000          1.82           4.45         1.87     	       1.88        	0.09   		2.29    		3.01   
 31      10000          1.82           3.87         1.87     	       1.88        	0.08   		2.29    		2.56   
 32      10000          1.82           3.44         1.87     	       1.89        	0.08   		2.27    		2.94   
 33      10000          1.82           4.12         1.87     	       1.88        	0.08   		2.27    		2.31   
 34      10000          1.82           4.12         1.87     	       1.88        	0.08   		2.27    		2.62   
 35      10000          1.82           5.79         1.87     	       1.88        	0.08   		2.29    		2.31   
 36      10000          1.82           5.97         1.87     	       1.88        	0.09   		2.27    		2.81   
 37      10000          1.82           5.89         1.87     	       1.89        	0.09   		2.29    		2.82   
 38      10000          1.82           45.68        1.87     	       1.90        	0.19   		2.30    		4.90   
