 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]
 0       1000          1.69           3.72         1.74     	       1.75        	0.05   		1.81    		3.72
 10      1000          1.71           4.34         1.74     	       1.75        	0.08   		1.81    		4.34
 20      1000          1.76           4.19         1.83     	       1.82        	0.08   		1.86    		4.19   
 30      1000          1.76           3.49         1.83     	       1.83        	0.04   		1.86    		3.49   
 40      1000          1.77           3.97         1.83     	       1.83        	0.04   		1.86    		3.97   
 50      1000          1.81           3.03         1.85     	       1.85        	0.02   		1.90    		3.03   
 60      1000          1.82           3.96         1.85     	       1.86        	0.06   		1.91    		3.96   
 70      1000          1.81           4.23         1.85     	       1.86        	0.07   		1.92    		4.23   
 80      1000          1.82           4.13         1.86     	       1.86        	0.03   		1.91    		4.13   
 90      1000          1.82           3.27         1.85     	       1.86        	0.04   		1.91    		3.27   
 100     1000          1.82           4.21         1.85     	       1.86        	0.05   		1.92    		4.21   
 110     1000          1.83           4.19         1.89     	       1.90        	0.06   		1.95    		4.19   
 120     1000          1.82           4.34         1.89     	       1.89        	0.08   		1.95    		4.34   
 130     1000          1.86           4.12         1.91     	       1.91        	0.02   		1.96    		4.12   
 140     1000          1.85           4.46         1.93     	       1.92        	0.04   		1.97    		4.46   
 150     1000          1.86           3.51         1.93     	       1.92        	0.02   		1.96    		3.51   
 160     1000          1.86           4.38         1.93     	       1.93        	0.08   		1.96    		4.38   
 170     1000          1.85           4.63         1.93     	       1.92        	0.05   		1.96    		4.63   
 180     1000          1.90           4.47         1.94     	       1.95        	0.04   		1.99    		4.47   
 190     1000          1.88           3.91         1.95     	       1.95        	0.04   		2.01    		3.91   
 200     1000          1.91           3.70         1.95     	       1.96        	0.05   		2.01    		3.70   
 210     1000          1.92           4.11         1.97     	       1.97        	0.04   		2.02    		4.11   
 220     1000          1.91           4.26         1.97     	       1.98        	0.10   		2.03    		4.26   
 230     1000          1.93           4.41         1.98     	       1.98        	0.05   		2.02    		4.41   
 240     1000          2.12           3.80         2.18     	       2.18        	0.04   		2.25    		3.80   
 250     1000          2.15           4.38         2.20     	       2.21        	0.07   		2.26    		4.38   
 260     1000          2.15           3.67         2.23     	       2.23        	0.08   		2.27    		3.67   
 270     1000          2.17           4.70         2.22     	       2.22        	0.05   		2.27    		4.70   
 280     1000          2.16           4.22         2.23     	       2.23        	0.04   		2.27    		4.22   
 290     1000          2.17           4.32         2.24     	       2.23        	0.06   		2.27    		4.32   
 300     1000          2.17           3.59         2.25     	       2.24        	0.03   		2.29    		3.59   
 310     1000          2.17           4.40         2.24     	       2.23        	0.04   		2.27    		4.40   
 320     1000          2.16           3.23         2.24     	       2.24        	0.03   		2.29    		3.23   
 330     1000          2.18           4.34         2.25     	       2.25        	0.05   		2.27    		4.34   
 340     1000          2.17           4.38         2.25     	       2.25        	0.05   		2.28    		4.38   
 350     1000          2.22           4.52         2.26     	       2.27        	0.08   		2.34    		4.52   
 360     1000          2.22           4.39         2.26     	       2.27        	0.07   		2.34    		4.39   
 370     1000          2.22           4.43         2.26     	       2.27        	0.04   		2.33    		4.43   
 380     1000          2.23           4.28         2.26     	       2.27        	0.04   		2.32    		4.28   
 390     1000          2.23           4.85         2.31     	       2.31        	0.07   		2.36    		4.85   
 400     1000          2.24           4.54         2.30     	       2.30        	0.07   		2.35    		4.54   
 410     1000          2.26           4.58         2.31     	       2.32        	0.07   		2.36    		4.58   
 420     1000          2.25           4.42         2.31     	       2.32        	0.06   		2.37    		4.42   
 430     1000          2.26           4.34         2.32     	       2.32        	0.03   		2.37    		4.34   
 440     1000          2.27           3.88         2.33     	       2.33        	0.03   		2.37    		3.88   
 450     1000          2.27           4.31         2.34     	       2.34        	0.05   		2.41    		4.31   
 460     1000          2.29           4.83         2.35     	       2.35        	0.07   		2.41    		4.83   
 470     1000          2.29           4.27         2.35     	       2.35        	0.05   		2.41    		4.27   
 480     1000          2.31           5.06         2.36     	       2.37        	0.06   		2.43    		5.06   
 490     1000          2.29           4.76         2.35     	       2.36        	0.04   		2.42    		4.76   
