#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2        8000    1000       10.92       11.72       11.60       12.29       13.03                5.52
            3        8000    1000       14.31       15.80       15.64       16.56       22.86                8.18
            4        8000    1000       18.10       20.13       19.88       20.89       27.50                9.66
            5        8000    1000       22.40       24.66       24.10       25.77       33.19               10.62
            6        8000    1000       26.99       29.70       28.86       30.58       44.59               11.09
            7        8000    1000       31.44       34.85       33.47       36.82       66.40               11.47
            8        8000    1000       35.89       39.82       38.21       41.98       87.55               11.72
            9        8000    1000       40.54       45.78       42.78       50.68       93.61               11.97
           10        8000    1000       44.80       52.59       47.54       66.06      103.14               12.12
           11        8000    1000       49.14       59.89       51.92       85.33      135.87               12.33
           12        8000    1000       53.95       65.03       57.19       90.93      141.04               12.31
           13        8000    1000       58.85       70.55       62.99       95.58      145.31               12.19
           14        8000    1000       63.99       72.54       67.44       84.80      135.04               12.34
           15        8000    1000       68.70       78.08       72.22       91.17      139.61               12.41
           16        8000    1000       72.88       82.41       76.84       95.93      130.62               12.49
           17        8000    1000       77.77       88.67       82.09      102.48      143.66               12.47
           18        8000    1000       82.61       94.88       88.46      117.13      155.34               12.30
           19        8000    1000       87.42       98.26       92.10      112.77      155.85               12.51
           20        8000    1000       91.96      102.94       97.01      116.22      148.32               12.54
           21        8000    1000       97.48      110.56      104.48      132.85      182.86               12.25
           22        8000    1000      102.42      126.80      121.12      155.74      200.15               11.10
           23        8000    1000      107.09      130.49      124.63      157.76      194.35               11.30
           24        8000    1000      112.29      133.71      128.26      161.46      202.86               11.48
           25        8000    1000      116.53      139.75      133.80      168.13      204.74               11.48
           26        8000    1000      120.45      146.08      138.85      174.86      214.58               11.52
           27        8000    1000      126.55      150.35      142.50      178.81      217.69               11.68
           28        8000    1000      131.44      155.67      148.03      185.37      229.70               11.67
           29        8000    1000      136.13      161.45      152.45      189.31      243.69               11.75
           30        8000    1000      142.19      166.24      158.59      191.36      240.19               11.70
           31        8000    1000      147.69      172.58      164.44      201.32      241.33               11.68
           32        8000    1000      154.53      177.11      168.85      204.25      249.83               11.75
           33        8000    1000      160.21      182.09      173.49      211.32      253.27               11.81
           34        8000    1000      166.59      186.95      178.24      214.16      262.72               11.85
           35        8000    1000      171.84      192.91      183.47      222.60      260.76               11.86
           36        8000    1000      178.44      199.71      190.29      224.59      278.22               11.77
           37        8000    1000      183.12      204.99      196.42      233.50      287.12               11.73
           38        8000    1000      186.00      208.80      200.91      235.30      281.55               11.79
           39        8000    1000      189.58      212.87      206.38      239.09      285.26               11.78
           40        8000    1000      190.32      218.71      214.01      250.16      296.81               11.66
           41        8000    1000      195.73      222.87      218.41      254.07      290.75               11.72
           42        8000    1000      199.59      228.70      224.04      257.35      313.81               11.71
           43        8000    1000      203.77      234.42      230.03      264.02      315.46               11.69
           44        8000    1000      208.37      239.74      235.98      268.69      316.18               11.66
           45        8000    1000      211.47      244.53      240.66      274.47      321.88               11.70
           46        8000    1000      218.59      250.12      245.91      280.23      322.94               11.71
           47        8000    1000      224.88      259.57      255.00      288.38      331.98               11.55
           48        8000    1000      231.70      265.84      260.16      296.69      350.26               11.56
           49        8000    1000      234.79      271.20      266.51      300.34      348.15               11.53
           50        8000    1000      236.96      274.51      269.99      304.54      351.67               11.62
           51        8000    1000      245.75      280.54      276.12      312.20      351.48               11.59
           52        8000    1000      250.41      286.65      281.51      318.65      368.75               11.59
           53        8000    1000      255.80      291.97      286.94      325.24      376.95               11.60
           54        8000    1000      260.38      297.46      291.47      331.30      380.03               11.64
           55        8000    1000      266.75      302.84      298.39      335.71      383.01               11.58
           56        8000    1000      271.45      307.15      302.36      339.79      383.92               11.64
           57        8000    1000      275.97      311.90      306.63      340.46      389.00               11.69
           58        8000    1000      288.93      321.67      315.67      351.66      406.51               11.56
           59        8000    1000      294.74      324.61      318.47      354.83      400.54               11.66
           60        8000    1000      300.76      331.75      325.66      360.43      410.84               11.60
           61        8000    1000      302.64      335.23      329.35      364.26      411.97               11.66
           62        8000    1000      307.41      341.58      335.41      371.48      424.65               11.64
           63        8000    1000      313.39      347.04      340.84      380.56      431.49               11.64
           64        8000    1000      329.90      362.04      354.44      396.73      437.52               11.38
           65        8000    1000      322.90      357.73      353.36      386.11      423.41               11.59
           66        8000    1000      326.29      362.65      356.46      394.65      450.33               11.67
           67        8000    1000      329.24      367.14      362.18      397.61      441.85               11.66
           68        8000    1000      337.98      374.39      368.91      403.62      459.91               11.62
           69        8000    1000      342.18      379.21      374.04      413.02      460.03               11.64
           70        8000    1000      348.41      386.10      379.39      418.86      478.93               11.64
           71        8000    1000      355.42      390.55      384.17      420.34      465.06               11.66
           72        8000    1000      360.92      396.74      391.13      426.02      478.46               11.62
